Facility Code,Facility Name,County,District,Division,Type,Type_grouped,Owner,Beds,Cots,log_beds,log_cots,Open 24 Hours,Open Weekends,ART,C-IMCI,FP,HBC,IPD
12969,Hono Clinic,Nairobi,Makadara,Makadara,Dispensary,Dispensary,Local Authority,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
16802,Jonalifa Clinic,Nairobi,Dagoretti North,Dagoretti,Medical Clinic,Medical Clinic,Non-Governmental Organizations,8.0,0.0,2.1972245773362196,0.0,1,1,0,0,0,0,0
20450,Josiah Community Medical Centre,Nairobi,Embakasi South,MUkuru,Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,4.0,2.0,1.6094379124341003,1.0986122886681098,1,1,0,0,0,0,0
19300,Josnik Clinic,Nairobi,Roysambu,Roysambu,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19312,Kam ENT Services,Nairobi,Starehe,Central,Medical Clinic,Medical Clinic,Private Practice - Medical Specialist,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19313,Kam Health Services,Nairobi,Starehe,Central,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
18505,KEMRI Mimosa,Nairobi,Kibra,KNH Golf Course,Dispensary,Dispensary,Ministry of Health,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
13019,Kemri VCT,Nairobi,Kibra,Kibra,VCT Centre (Stand-Alone),VCT Centre (Stand-Alone),Ministry of Health,40.0,0.0,3.713572066704308,0.0,0,0,1,0,0,1,0
20146,KEMRI/CDC Health Services,Nairobi,Mathare,Kariokor,Medical Centre,Other,Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
18357,Kemsa Staff Clinic,Nairobi,Starehe,Viwandani,Dispensary,Dispensary,Ministry of Health,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
13020,Kenwa,Nairobi,Starehe,Central,Dispensary,Dispensary,Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
19330,Kimathi Street Medical Centre,Nairobi,Starehe,Central,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
19316,Lad Nan Hospital,Nairobi,Starehe,Kariokor,Other Hospital,Other Hospital,Private Enterprise (Institution),8.0,0.0,2.1972245773362196,0.0,1,1,0,0,0,0,0
20406,Lina Medical Services,Nairobi,Embakasi East,Embakasi,Dispensary,Dispensary,Community,6.0,2.0,1.9459101490553132,1.0986122886681098,0,1,0,0,0,0,0
20623,Lindi Community Clinic,Nairobi,Kibra,Kibra,Dispensary,Dispensary,Ministry of Health,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
21147,Lions Sightfirst Eye Hospital,Nairobi,Westlands,Kitisuru,Other Hospital,Other Hospital,Private Enterprise (Institution),103.0,0.0,4.6443908991413725,0.0,1,1,0,0,0,0,0
18611,Lithi Clinic,Nairobi,Kamukunji,Eastleigh South ,Medical Clinic,Medical Clinic,Private Practice - Unspecified,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
13050,Liverpool VCT,Nairobi,Dagoretti North,Kilimani,VCT Centre (Stand-Alone),VCT Centre (Stand-Alone),Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0
19481,Lumumba Medical Clinic,Nairobi,Makadara,Makadara ,Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
13053,Lunga Lunga Health Centre,Nairobi,Makadara,Makadara,Dispensary,Dispensary,Local Authority,0.0,0.0,0.0,0.0,0,0,1,0,1,1,1
13056,Makadara Health Centre,Nairobi,Makadara,Makadara,Health Centre,Health Centre,Ministry of Health,19.0,0.0,2.995732273553991,0.0,1,1,1,0,1,1,1
13057,Makadara Mercy Sisters Dispensary,Nairobi,Makadara,Makadara,Medical Clinic,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,0.0,0.0,0.0,0.0,0,1,1,1,0,1,1
13058,Makina Clinic,Nairobi,Kibra,Kibra,Dispensary,Dispensary,Community,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1
18985,Maranatha Medical Services,Nairobi,Kibra,Kibra,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
13061,Maria Dominica Dispensary,Nairobi,Langata,Lang'ata,Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
13062,Maria Immaculate Health Centre,Nairobi,Dagoretti North,Kileleshwa,Health Centre,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,27.0,2.0,3.332204510175204,1.0986122886681098,1,1,1,0,0,1,1
13063,Maria Maternity and Nursing Home,Nairobi,Embakasi Central,Embakasi,Maternity Home,Other,Private Practice - General Practitioner,20.0,4.0,3.044522437723423,1.6094379124341003,0,0,0,0,1,1,1
20276,Maria Medical Clinic And Diadetic centre(Saika) ,Nairobi,Kasarani,Njiru,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
13064,Mariakani Cottage Hospital Ltd,Nairobi,Starehe,South B,Nursing Home,Nursing Home,Private Enterprise (Institution),44.0,6.0,3.8066624897703196,1.9459101490553132,1,1,1,1,1,1,1
19432,Mariakani Cottage Hospital Utawala Clinic,Nairobi,Embakasi East,Embakasi,Medical Clinic,Medical Clinic,Private Practice - Medical Specialist,5.0,2.0,1.791759469228055,1.0986122886681098,1,1,0,0,0,0,0
16166,Marie Stopes Clinic (Dagoretti),Nairobi,Kibra,Dagoretti,Dispensary,Dispensary,Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0
13065,Marie Stopes Clinic (Kencom),Nairobi,Starehe,Central,Dispensary,Dispensary,Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,0,0,1,1,1,1
13067,Marie Stopes Clinic (Kilimani),Nairobi,Dagoretti North,Kilimani,Dispensary,Dispensary,Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1
16167,Marie Stopes Clinic (Langata),Nairobi,Kibra,Kibra,Medical Clinic,Medical Clinic,Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0
13066,Marie Stopes Clinic (Pangani),Nairobi,Starehe,Kariokor,Medical Clinic,Medical Clinic,Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0
13068,Marie Stopes Nursing Home (Eastleigh),Nairobi,Kamukunji,Eastleigh North,Nursing Home,Nursing Home,Non-Governmental Organizations,15.0,10.0,2.772588722239781,2.3978952727983707,1,1,0,1,1,1,1
13069,Maringo Clinic,Nairobi,Makadara,Makadara,Dispensary,Dispensary,Local Authority,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
20089,Marist International University College Medical Clinic,Nairobi,Langata,Lang'ata,Medical Clinic,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
16798,Mawamu Clinic,Nairobi,Westlands,Kangemi,Medical Clinic,Medical Clinic,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
19403,Max Family Health Care,Nairobi,Roysambu,KASARANI,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
13070,Marura Nursing Home,Nairobi,Ruaraka,Kasarani,Nursing Home,Nursing Home,Private Enterprise (Institution),32.0,5.0,3.4965075614664802,1.791759469228055,1,1,1,0,1,1,1
13071,Marurui Dispensary,Nairobi,Roysambu,Kasarani,Dispensary,Dispensary,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,0,1,0,0,1,0
12982,Mary Immaculate Clinic Mukuru,Nairobi,Starehe,South B,Medical Clinic,Medical Clinic,Other Faith Based,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1
13072,Mary Immaculate Sisters Dispensary,Nairobi,Makadara,Bahati,Dispensary,Dispensary,Other Faith Based,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1
17514,Mary Mission,Nairobi,Dagoretti South,Riruta,Health Centre,Health Centre,Private Enterprise (Institution),6.0,2.0,1.9459101490553132,1.0986122886681098,1,1,0,0,0,0,0
13075,Mathare 3A (EDARP),Nairobi,Mathare,Central,VCT Centre (Stand-Alone),VCT Centre (Stand-Alone),Kenya Episcopal Conference-Catholic Secretariat,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0
